Date,True,Predict
2022-03-11,0.8512397,0.84056854
2022-03-14,0.90082645,0.83523977
2022-03-15,0.92561984,0.84281117
2022-03-16,0.90909094,0.8553709
2022-03-17,0.91735536,0.8633642
2022-03-18,0.91735536,0.8768483
2022-03-21,0.91735536,0.8896636
2022-03-22,0.91735536,0.89529794
2022-03-23,0.92561984,0.891227
2022-03-24,0.91735536,0.89500076
2022-03-25,0.90909094,0.8949247
2022-03-28,0.90909094,0.8925304
2022-03-29,0.892562,0.8880252
2022-03-30,0.90082645,0.883913
2022-03-31,0.90082645,0.87981313
2022-04-01,0.90082645,0.8768384
2022-04-04,0.88429755,0.87071913
2022-04-05,0.90909094,0.8655084
2022-04-06,0.8677686,0.86679727
2022-04-07,0.892562,0.86450773
2022-04-08,0.8677686,0.8598289
2022-04-11,0.90082645,0.8533639
2022-04-12,0.90909094,0.8548152
2022-04-13,0.90082645,0.8521478
2022-04-14,0.8512397,0.85642356
2022-04-15,0.8512397,0.8494717
2022-04-18,0.8429752,0.84762675
2022-04-19,0.8512397,0.841047
2022-04-20,0.8677686,0.8332816
2022-04-21,0.8595041,0.8277195
2022-04-22,0.8677686,0.8302313
2022-04-25,0.90909094,0.83326757
2022-04-26,0.87603307,0.840441
2022-04-27,0.8677686,0.8456355
2022-04-28,0.8512397,0.85044837
2022-04-29,0.8595041,0.85057133
2022-05-02,0.8595041,0.8520265
2022-05-03,0.8512397,0.8385471
2022-05-04,0.8595041,0.8297984
2022-05-06,0.8429752,0.8230899
2022-05-09,0.8595041,0.81958896
2022-05-10,0.8595041,0.8155687
2022-05-11,0.8429752,0.81551737
2022-05-12,0.8347107,0.8146378
2022-05-13,0.8512397,0.8121736
2022-05-16,0.8181818,0.81448704
2022-05-17,0.8264463,0.81031346
2022-05-18,0.8347107,0.8047316
2022-05-19,0.8512397,0.8013081
2022-05-20,0.91735536,0.79983705
2022-05-23,0.90909094,0.8162168
2022-05-24,0.92561984,0.83524626
